Main,Middle,Sub,Main,Middle,Sub,Central,Unfiltered,Description,DatapointType,Security
 , ,F05_01.Ctl,1,5,1,,,,DPT-1,Auto
 , ,F05_02.Ctl,1,5,2,,,,DPT-1,Auto
 , ,F05_03.Ctl,1,5,3,,,,DPT-1,Auto
 , ,F05_04.Ctl,1,5,4,,,,DPT-1,Auto
 , ,F05_05.Ctl,1,5,5,,,,DPT-1,Auto
 , ,F05_06.Ctl,1,5,6,,,,DPT-1,Auto
 , ,F05_07.Ctl,1,5,7,,,,DPT-1,Auto
 , ,F05_08.Ctl,1,5,8,,,,DPT-1,Auto
 , ,F05_01.Fdb,1,5,101,,,,DPT-1,Auto
 , ,F05_02.Fdb,1,5,102,,,,DPT-1,Auto
 , ,F05_03.Fdb,1,5,103,,,,DPT-1,Auto
 , ,F05_04.Fdb,1,5,104,,,,DPT-1,Auto
 , ,F05_05.Fdb,1,5,105,,,,DPT-1,Auto
 , ,F05_06.Fdb,1,5,106,,,,DPT-1,Auto
 , ,F05_07.Fdb,1,5,107,,,,DPT-1,Auto
 , ,F05_08.Fdb,1,5,108,,,,DPT-1,Auto
 , ,F05_All.Scn,1,5,200,,,场景,DPT-18,Auto
 , ,F05_Actr.Lock,1,5,201,,,执行器锁定,DPT-1,Auto
 , ,F05_PB.Lock,1,5,211,,,面板锁定,DPST-1-2,Auto
 , ,F05_Scd.En,1,5,250,,,定时启用,DPST-1-3,Auto
F06-F11, , ,2,,,,,,,Auto
 ,F06, ,2,1,,,,,,Auto
 , ,F06_01.Ctl,2,1,1,,,,DPT-1,Auto
 , ,F06_02.Ctl,2,1,2,,,,DPT-1,Auto
 , ,F06_03.Ctl,2,1,3,,,,DPT-1,Auto
 , ,F06_04.Ctl,2,1,4,,,,DPT-1,Auto
 , ,F06_05.Ctl,2,1,5,,,,DPT-1,Auto
 , ,F06_06.Ctl,2,1,6,,,,DPT-1,Auto
 , ,F06_07.Ctl,2,1,7,,,,DPT-1,Auto
 , ,F06_08.Ctl,2,1,8,,,,DPT-1,Auto
 , ,F06_01.Fdb,2,1,101,,,,DPT-1,Auto
 , ,F06_02.Fdb,2,1,102,,,,DPT-1,Auto
 , ,F06_03.Fdb,2,1,103,,,,DPT-1,Auto
 , ,F06_04.Fdb,2,1,104,,,,DPT-1,Auto
 , ,F06_05.Fdb,2,1,105,,,,DPT-1,Auto
 , ,F06_06.Fdb,2,1,106,,,,DPT-1,Auto
 , ,F06_07.Fdb,2,1,107,,,,DPT-1,Auto
 , ,F06_08.Fdb,2,1,108,,,,DPT-1,Auto
 , ,F06_All.Scn,2,1,200,,,场景,DPT-18,Auto
 , ,F06_Actr.Lock,2,1,201,,,执行器锁定,DPT-1,Auto
 , ,F06_PB.Lock,2,1,211,,,面板锁定,DPST-1-2,Auto
 , ,F06_Scd.En,2,1,250,,,定时启用,DPST-1-3,Auto
 ,F07, ,2,2,,,,,,Auto
 , ,F07_01.Ctl,2,2,1,,,,DPT-1,Auto
 , ,F07_02.Ctl,2,2,2,,,,DPT-1,Auto
 , ,F07_03.Ctl,2,2,3,,,,DPT-1,Auto
 , ,F07_04.Ctl,2,2,4,,,,DPT-1,Auto
 , ,F07_05.Ctl,2,2,5,,,,DPT-1,Auto
 , ,F07_06.Ctl,2,2,6,,,,DPT-1,Auto
 , ,F07_07.Ctl,2,2,7,,,,DPT-1,Auto
 , ,F07_08.Ctl,2,2,8,,,,DPT-1,Auto
 , ,F07_01.Fdb,2,2,101,,,,DPT-1,Auto
 , ,F07_02.Fdb,2,2,102,,,,DPT-1,Auto
 , ,F07_03.Fdb,2,2,103,,,,DPT-1,Auto
 , ,F07_04.Fdb,2,2,104,,,,DPT-1,Auto
 , ,F07_05.Fdb,2,2,105,,,,DPT-1,Auto
